N00036633::Abraham, Ralph
N00038426::Kinzler, Jay
N00012539::Kirk, Mark
N00029260::Kirkpatrick, Ann
N00038754::Kirshner, Brandon
N00039176::Kitts, Derek
N00036357::Klepinger, Robert
N00039163::Kleven, Thomas
N00004436::Kline, John
N00038683::Knezek, Erick
N00039704::Knight, Drew
N00035820::Knight, Steve
N00038657::Kokkonen, Matt
N00035995::Kolls, Mike
N00039504::Kondrat'Yev, Amanda
N00032568::Koniz, Gary
N00038863::Konsmo, Mike
N00038648::Kopsick, Joe
N00037270::Kozell, Rick
N00037622::Kraayvanger, Jason
N00033645::Kraus, Steven
N00004231::Krause, Bob
N00035636::Krause, Joel
N00033240::Krishnamoorthi, Raja
N00037027::Kroeger, Gary
N00033822::Kundrata, Fred
N00039256::Kuo, Peter
N00030875::Kuster, Ann Mclane
N00025445::Kustoff, David
N00036949::Laboy, Zoe
N00031377::Labrador, Raul
N00036418::Lafrance, Nathan
N00037031::LaHood, Darin
N00005310::Laird, Steven C
N00033987::LaMalfa, Doug
N00039029::Lamb, Thomas
N00035942::Lambert, Dennis G
N00028133::Lamborn, Douglas L
N00039094::Lamp, Toby
N00039491::Lancaster, Gordon
N00000898::Lance, Leonard
N00039158::Landholt, Nicholas
N00036981::Lane, James
N00038629::Lange, Jim
N00038750::Lange, John
N00009724::Langevin, Jim
N00031129::Lankford, James
N00038598::Laplante, Roger Alan
N00034864::Lapointe, Mike
N00035729::LaPolice, Alan
N00027088::Larchuk, Steve
N00038558::Larivee, Bob
N00030562::Larose, Josue
N00038632::Larose, Valencia
N00031517::Larsen, David
N00009759::Larsen, Rick
N00038448::Larson, Donald
N00000575::Larson, John B
N00039480::Laschober, Dan
N00033718::Lasee, Frank
N00038427::Lasonde, Joan McCarthy
N00039291::LaSpino, James
N00012233::Latta, Robert E
N00029470::Lauren, Robert
N00035093::Lavergne, Frederick
N00036872::Law, Alexander
N00036940::Law, Phil
N00034068::Lawrence, Brenda
N00039316::Lawrence, Derickson
N00036939::Lawrence, Mary
N00037434::Laws, Jerry
N00035989::Lawson, Mark
N00035334::Leach, Ron
N00009918::Leahy, Patrick
N00039178::Lebeck, Jason
N00008046::Lee, Barbara
N00031696::Lee, Mike
N00037247::Lee, Susie
N00038746::Lee, Yungman
N00029403::Leeds, Robert
N00037292::Leib, Bryan
N00029779::Leone, Ross
N00029841::Lessig, Lawrence
N00034024::Levene, Allan
N00003950::Levin, Sander
N00038400::Lewis, Jason
N00039139::Lewis, Jim
N00039604::Lewis, Joel
N00002577::Lewis, John
N00035059::Lewis, Marcus
N00037054::Li, Lindy
N00032290::Lieber, Arthur
N00035295::Lieberman, Richard
N00037445::Liebnitzky, Wayne
N00038769::Lieske, Joel
N00035825::Lieu, Ted
N00039484::Lindbeck, Steve
N00039264::Lindner, Pete
N00031346::Lingerfelt, Charles
N00027239::Lipinski, Daniel
N00039219::Littleton, Peg
N00038799::Lloyd, James
N00039430::Lloyd, Sarah
N00000851::LoBiondo, Frank A
N00039218::Lochner, Bob
N00027741::Loebsack, David
N00035990::Loewe, Mark
N00007479::Lofgren, Zoe
N00030676::Long, Billy
N00037033::Lopez, Adam
N00038444::Lopez, Pete
N00037495::Lopez-Cantera, Carlos
N00037493::Lopez-Cervantez, Joanne
N00039144::Lorentz, Michael L.
N00035347::Loudermilk, Barry
N00033842::Love, Mia
N00035572::Lowe, Thuy
N00033274::Lowenthal, Alan
N00001024::Lowey, Nita M
N00037620::Lozano, Roy
N00005559::Lucas, Frank D
N00038439::Lucero, Michael Glenn
N00027275::Luchansky, John
N00037258::Lucius, Casey
N00030026::Luetkemeyer, Blaine
N00039659::Luick-Thrams, Michael
N00029562::Lujan, Ben R
N00029788::Lummis, Cynthia
N00038736::Lupinacci, Chad
N00039324::Luttrell, Mark
N00035946::Lynch, Matt
N00013855::Lynch, Stephen F
N00037268::Lynn, Eric
N00036155::MacArthur, Thomas
N00039574::Macbeth, Karen
N00039097::MacKenzie, Stephen
N00039149::Mackey, Alfred
N00037058::Maddux, Robert
N00038829::Madrigal, Ray
N00039110::Magee, Carl
N00038652::Maggitt, Jesse
N00039065::Mahendra, Bobby
N00034721::Mahn, Todd
N00039326::Maldonado, David
N00031530::Malik, Dean
N00039518::Malik, Rashid
N00039581::Mallory, Prince
N00038614::Malloy, Patrick
N00039072::Malnes, Brian
N00000078::Maloney, Carolyn B
N00038590::Maloney, James
N00034277::Maloney, Sean Patrick
N00039146::Manchik, Joe
N00039557::Mannino, Len
N00039270::Manypenny, Mike
N00026710::Marchant, Kenny
N00036265::Marie, Lisa
N00038727::Marin, Juan Antonio Jr
N00031777::Marino, Tom
N00039705::Markowitz, Warren
N00038474::Marks, Stephen
N00038635::Marlowe, Hayden
N00004766::Marshall, Robert
N00037034::Marshall, Roger
N00037294::Marsicano, Michael
N00038562::Marter, James
N00035510::Martin, Andy
N00038627::Martin, Jack
N00038803::Martin, Jeff
N00039030::Martin, John
N00039528::Martinez, Jennifer
N00038737::Martins, Jack
N00039485::Martyn, Bryan
N00037302::Marx, Angie
N00037280::Mason, Christopher
N00034041::Massie, Thomas
N00037269::Mast, Brian
N00037161::Masto, Catherine Cortez
N00038585::Mathis, Nathan
N00037523::Matory, Liz
N00027459::Matsui, Doris O
N00038284::Matta, Bill
N00037453::Matthews, Andy
N00037281::Matthews, Kathleen
N00038764::Matvey, Joe
N00038825::Mauck, Eric
N00037131::Maul, Skip
N00038617::Maxwell, Matt
N00026095::May, Donald
N00038643::Mayers, Richard
N00036174::McAffrey, Al
N00035209::McAllister, Lenny
N00039037::McBean, Scott
N00032970::McCain, Eddie
N00006424::McCain, John
N00035273::McCall, Matt
N00039404::Mccall, Matt
N00038257::McCarter, Kyle
N00028152::McCarthy, Kevin
N00026460::McCaul, Michael
N00035304::McClelland, Erin
N00006863::McClintock, Tom
N00039511::McClure, Bill
N00031924::McClure, James Jr
N00038715::McCluskey, Blake
N00039591::McCollaum, Paul Jr
N00012942::McCollum, Betty
N00038555::McConnell, Jonathan
N00039166::McCormick, Kevin
N00036854::McCoy, Dave
N00039523::McCracken, Tricia Carpenter
N00037589::McCullough, William
N00026605::McDermott, George
N00009829::McDermott, Jim
N00038857::McDermott, Joe
N00038854::McDevitt, David
N00038691::McDonough, Pat
N00038290::McDowell, Jan
N00039327::McEachin, Donald
N00037051::McFall, Jerald
N00039131::McFarlane, Richard
N00039034::McGill, Shadrack
N00037566::McGinty, Katie
N00000179::McGovern, James P
N00038653::McGroarty, Colin
N00026627::McHenry, Patrick
N00033834::McKellar, Shirley
N00031681::McKinley, David
N00039421::Mckinney, Joseph
N00038674::McLaughlin, Nathaniel
N00038709::McLeod, Johnny
N00039571::Mcmasters, Thomas
N00035329::McMichael, Craig
N00026314::McMorris Rodgers, Cathy
N00038728::McNeil, John
N00026926::McNerney, Jerry
N00039227::McNicholas, Mark
N00039181::McNulty, Terry
N00033982::McSally, Martha
N00039318::Mcteague, Dave
N00033631::Meadows, Mark R
N00033559::Mealer, John Lewis
N00031134::Meehan, Patrick
N00001171::Meeks, Gregory W
N00038868::Meena, Jack
N00038759::Meer, Edward
N00038286::Mehaffey, Sam
N00028428::Mellon, Rob
N00037230::Meluskey, Alex
N00037590::Mendenhall, David
N00027936::Mendoza, Ben
N00037022::Mendoza, Matt
N00034547::Meng, Grace
N00012546::Messer, Luke
N00039492::Mettler, Ken
N00039239::Meyer, John
N00002793::Mica, John L
N00007835::Mike, the Mover
N00036942::Millard, Andy
N00038697::Miller, Darlene
N00039702::Miller, Jeff
N00013846::Miller, Jeff
N00039690::Miller, Rick
N00039489::Miller, Robert
N00036924::Mills, Chip
N00036491::Mills, John
N00039506::Mills, John
N00038724::Mills, Thomas
N00033888::Miniear, J D
N00037444::Minning, Dena
N00038745::Mirza, Ali
N00033928::Mitchell, Monte
N00036274::Mitchell, Paul
N00038663::Mix, Richard
N00037409::Moharir, Mukund Martand
N00036900::Molnar, Robert
N00036271::Molyett, Matthew
N00028628::Monroe, Mike
N00039074::Montes, Joseph
N00036275::Moolenaar, John
N00033814::Mooney, Alex
N00039085::Mooney, Patrick
N00026914::Moore, Gwen
N00035447::Moore, Rodney
N00039084::Moran, Jeff
N00005282::Moran, Jerry
N00039148::Morckel, Richard A.
N00038430::Morgan, Yuripzy
N00037266::Morning, John
N00039078::Morris, Gerald
N00037605::Morrison, Terrance
N00008363::Morrow, John
N00038413::Morse, Nicholas
N00038672::Moss, Richard
N00039535::Moss, Vanessa
N00035431::Moulton, Seth
N00037181::Mowery, Tod
N00035416::Mowrer, Jim
N00033410::Mullin, Markwayne
N00031412::Mulvaney, Mick
N00039150::Mundy, Keith
N00038248::Murdock, Brett
N00026050::Murkowski, Lisa
N00037529::Muroff, Dan
N00039307::Murphy, Dennis B
N00037619::Murphy, John
N00035289::Murphy, Pat
N00033091::Murphy, Patrick
N00024992::Murphy, Tim
N00007876::Murray, Patty
N00037177::Musante, Marcus
N00039654::Myers, Gary
N00039317::Myers, Kim
N00038265::Myhra, Pam
N00038642::Myrickes, Dorian
N00000939::Nadler, Jerrold
N00039033::Nana, Charles
N00036930::Nance, Kathryn
N00006789::Napolitano, Grace
N00033667::Narvaiz, Susan
N00038568::Nasiri, Mohammad Abous Sabur
N00037399::Nathan, Bruce
N00039469::Natividad, Jerry
N00035377::Naughton, Shaughnessy
N00037584::Navarro, Omar
N00000153::Neal, Richard E
N00036781::Neely, Charles
N00037025::Negron, Rebecca
N00039601::Nehlen, Paul
N00039605::Nelson, Tom
N00039142::Neu, James
N00026043::Neugebauer, Randy
N00038395::Neville, Tim
N00039556::Newell, Casey
N00036403::Newhouse, Dan
N00037600::Newton, William
N00037441::Nguyen, Bao
N00037521::Nightenhelser, Todd
N00039526::Nikolova, Staniela
N00037517::Nikpour, Noelle
N00038398::Noble, Sandra Queen
N00032022::Noem, Kristi
N00039573::Nogales-Molinelli, Mariana
N00021207::Nolan, Rick
N00037250::Noland, Michael
N00039522::Nolin, Joyce
N00036154::Norcross, Don
N00021222::Norris, Chuck
N00033875::Norris, Phil
N00001692::Norton, Eleanor Holmes
N00030734::Novak, Daria
N00032441::Nugent, Richard
N00007248::Nunes, Devin
N00039728::O'Briant, Liddo Susan
N00036943::O'Connor, Shawn
N00037515::O'Halleran, Tom
N00031956::O'Hara, Shawn
N00037007::O'Malley, Martin
N00038689::O'Malley, Tom
N00039567::O'Reilly, Michael
N00033540::O'Rourke, Beto
N00039306::Ocasio, Javier
N00033404::Oceguera, John
N00038749::Oliva, Phil
N00013843::Olivas, Miguel
N00006355::Oliver, Craig S
N00039381::Oliverio, Pierluigi
N00038587::Olree, Brock
N00039378::Olson, Justin
N00029285::Olson, Pete
N00029512::Orentlicher, David
N00036892::Ortega, Gustavo
N00037413::Orton, Bill
N00038675::Osborne, Tom
N00037496::Osborne, Walter
N00039079::Oshins, Jeff
N00037013::Ostrander, Bill
N00005092::Ostrowski, Andrew J
N00037189::Otto, Bill
N00038723::Otto, Mark
N00038704::Owens, Jacob
N00034605::Oxley, Gary
N00038664::Pace, Jim
N00039049::Pahlke, Elizabeth Diane
N00035898::Painter, Harold
N00035766::Pakootas, Joe
N00039675::Palacios, Art
N00038808::Palacios, Juan Jr
N00031958::Palazzo, Steven
N00000781::Pallone, Frank Jr
N00035691::Palmer, Gary
N00039379::Palsson, Nils
N00037157::Palzer, Tom
N00038601::Panetta, Jimmy
N00038261::Pape, Michael
N00038622::Pappas, George
N00037012::Parra, Daniel
N00038458::Parrish, Don
N00035958::Parrish, Mike
N00039170::Partsch, James Galvan
N00000751::Pascrell, Bill Jr
N00028981::Pataki, George
N00038816::Pate, Ava
N00039472::Pate, Page Anthony
N00036933::Patel, Ravi
N00035104::Paterson, Clark
N00039298::Patrick, Patrea
N00038815::Patterson, Ralph
N00038437::Patterson, Robert W
N00038623::Patty, Brandon
N00030836::Paul, Rand
N00029391::Paulsen, Erik
N00036986::Pavlov, Phil
N00037162::Pawlowski, Ed
N00034639::Payne, Donald M Jr
N00039271::Payne, Tom
N00012672::Pearce, Steve
N00035203::Pearson, Cecil Jr
N00038404::Pearson, Michael
N00039098::Peavler, Bruce
N00039514::Peixoto, Jose F
N00039662::Pellerin, Josh
N00007360::Pelosi, Nancy
N00036991::Pena-Melnyk, Joseline
N00039515::Pendley, Angela
N00039179::Penebaker, Khary
N00038409::Perez, Connie
N00037502::Perez, Frank
N00035984::Perez, Jaime
N00026186::Perez, N Ruben
N00037527::Perkins, Bill
N00035512::Perkins, Jo Rae
N00038630::Perkins, Randy
N00027510::Perlmutter, Edwin G
N00037610::Perry, Mary
N00033486::Perry, Rick
N00034120::Perry, Scott
N00038288::Persinger, Scott
N00027732::Persley, Erran
N00039268::Person, Francis J
N00038785::Pesquera, Carlos
N00036895::Peter, Richard
N00036800::Petermann, Jeff
N00039395::Peters, Christopher
N00033591::Peters, Scott
N00039075::Petersen, Roger
N00039386::Peterson, Bob
N00004558::Peterson, Collin
N00038824::Peterson, Hart
N00038282::Petri, Scott
N00039119::Petrus, Adrian
N00039272::Peyton, Harvey
N00037597::Pfaff, Jim
N00038821::Phelps, Todd
N00038417::Phillips, Bill
N00038752::Phillips, George
N00039560::Phillipson, Lorna
N00037421::Picus, Preston
N00039134::Pidot, Philip
N00039040::Pierce, Douglas
N00038634::Pierre-Charles, Idson
N00013817::Pingree, Chellie
N00039396::Piotrowski, James
N00001524::Piotrowski, Rick
N00039165::Pipkin, Paul
N00036996::Pirkle, Greg
N00030781::Pistone, John
N00034416::Pittenger, Robert
N00039477::Pittman, M Brent
N00001633::Pitts, Joe
N00038557::Pizer, David
N00035000::Plaskett, Stacey
N00036935::Plaster, Mark
N00037443::Ploeckelmann, Michael
N00039387::Plowright, Misty
N00037290::Plumb, John
N00033549::Pocan, Mark
N00038626::Poe, Bob
N00026457::Poe, Ted
N00034584::Poliquin, Bruce
N00029127::Polis, Jared
N00030744::Pompeo, Mike
N00003682::Portman, Rob
N00029662::Posey, Bill
N00000962::Powell, Adam Clayton IV
N00038569::Prather, Kelli
N00039722::Preble, Juston J.
N00039171::Prentice, Thom
N00039267::Price, Aaron
N00002260::Price, David
N00038625::Price, Leroi
N00026160::Price, Tom
N00037498::Prince, Joseph
N00039118::Puca, Tony
N00038851::Pugh, D Clay
N00028240::Pullins, Pierre
N00038670::Purdy, Polly Jesus
N00037580::Putman, David
N00039042::Pybrum, Steven
N00030581::Quigley, Mike
N00039087::Quinn, Christine
N00036556::Quinn, Dennis C
N00038556::Quinn, Pat
N00034563::Quintanilla, Carlos
N00038811::Quintanilla, Joel
N00039180::Quisler, Ethel C
N00039671::Quoc Vo, Jade Tuan
N00025157::Raasch, Wayne
N00036728::Rab, Aejaz
N00037587::Rabinowitz, Jeffrey G
N00007635::Radewagen, Amata Coleman
N00039422::Rainey, Earl
N00033837::Ramirez, Ruben
N00038461::Ramsland, Russ
N00037414::Randolph, Susannah
N00037267::Rangel, Ricardo
N00039167::Rangel, Roland
N00035156::Rankin, Ed
N00037278::Ransom, Lisa
N00039261::Rantz, Gus
N00037036::Raskin, Jamie
N00035972::Ratcliffe, John Lee
N00036921::Raty, Timothy A
N00036553::Ray, Troy
N00035229::Rayburn, Charles
N00002002::Rea, John
N00039129::Rechtzigel, Gene
N00036045::Recktenwald, Tom
N00037582::Redd, Shawn
N00039486::Reed, James E
N00030949::Reed, Tom
N00038410::Reed, Wendy
N00039260::Rees, Grover
N00039539::Reeves, Ernest
N00036422::Reeves, Ernest T
N00036005::Reeves, Jason
N00039411::Reichard, Richard
N00026885::Reichert, Dave
N00036994::Reigle, Hans
N00025216::Reiter, George
N00031127::Renacci, Jim
N00038253::Rentas, Wanda
N00038567::Rey, Chris
N00038276::Reynolds, Roger
N00039481::Reynolds, Steven
N00039723::Rheinhart, Allen
N00030968::Ribble, Reid
N00035927::Rice, Kathleen
N00033832::Rice, Tom
N00038275::Rich, Roy
N00035361::Richards, Ronny
N00039228::Richardson, Lynn
N00030125::Richardson, Marvin
N00030184::Richmond, Cedric
N00026683::Ridley, H J Jr
N00030962::Rigell, Scott
N00035642::Ritchie, Jason
N00038561::Rivera, Ernesto J
N00038758::Robbins, Jim
N00037285::Roberson, Michael
N00038721::Roberts, Jim
N00038772::Roberts, Shawn
N00037616::Roberts, Timothy
N00038457::Robertson, Glen
N00039467::Robertson, Logan
N00036946::Robertson, Terry
N00026150::Robinson, Vernon
N00030768::Roby, Martha
N00031007::Roche, Frank
N00038414::Rochester, Lisa Blunt
N00038425::Roderick, Steve
N00039652::Rodgers, Emory
N00028463::Roe, Phil
N00038405::Rogers, Bob
N00036983::Rogers, David
N00005600::Rogers, Evelyn
N00003473::Rogers, Hal
N00024759::Rogers, Mike D
N00007151::Rohrabacher, Dana
N00031741::Rokita, Todd
N00039410::Rolle, Dan
N00037609::Romeo, Mike
N00039420::Romero, Paul Jr
N00038447::Ronan, Samuel
N00029018::Rooney, Tom
N00002858::Ros-Lehtinen, Ileana
N00038784::Rosa, Angel
N00013682::Rosa, David
N00038720::Roseman, Jeffrey
N00038734::Rosen, Jacky
N00039314::Rosenberg, Oliver
N00039135::Rosenthal, Philip
N00039044::Rosier, Donald
N00004719::Roskam, Peter
N00038565::Ross, Deborah
N00030645::Ross, Dennis
N00031625::Ross, Henry
N00036988::Rotering, Nancey Rodkin
N00038631::Roth, Rick
N00031253::Rothfus, Keith J
N00037607::Rouco, George
N00038838::Roughneen, Cherie Myint
N00036086::Rourke, Robb
N00033527::Rouzer, David
N00039595::Rowe, Matt
N00006671::Roybal-Allard, Lucille
N00008264::Royce, Ed
N00038263::Rubin, Joel
N00030612::Rubio, Marco
N00037040::Rucker, Austin
N00033510::Ruiz, Raul
N00025482::Ruppersberger, Dutch
N00004887::Rush, Bobby L
N00036175::Russell, Steven
N00038699::Ryan, Greg
N00039678::Ryan, Michelle
N00004357::Ryan, Paul
N00025280::Ryan, Tim
N00030418::Sablan, Gregorio
N00037613::Sadoff, Eli
N00039603::Salamone, Philip
N00037446::Salas, Javier
N00038582::Salinas, Xavier
N00006446::Salmon, Matt
N00038591::San Miguel, Edna
N00037038::Sanborn, Alan
N00039081::Sanchez, Carlos
N00037261::Sanchez, Heberto
N00024870::Sanchez, Linda
N00008274::Sanchez, Loretta
N00000528::Sanders, Bernie
N00038747::Sanders, Jaime
N00038744::Sanders, James Jr
N00002424::Sanford, Mark
N00036362::Sannes, Marvin
N00039297::Santamaria, Carlos J
N00036948::Santarsiero, Steve
N00038624::Santiago, David
N00001380::Santorum, Rick
N00036315::Sanyal, Ron
N00039569::Sapaskis, Stylo
N00027751::Sarbanes, John
N00038250::Savary, Sue
N00036189::Savitt, Marc
N00039724::Sawyer, Tom
N00037526::Sbaih, Jesse
N00028677::Scaldaferri, Theresa C
N00009660::Scalise, Steve
N00039667::Scarborough, Rebel Michael
N00039566::Schaefer, Mike
N00038834::Schafranek, Robert
N00004724::Schakowsky, Jan
N00028138::Schatz, Brian
N00038262::Scheminant, Kevin
N00009585::Schiff, Adam
N00039555::Schiffman, Steve
N00035317::Schnackenberg, Matt
N00033101::Schneider, Brad
N00037016::Schneider, Helene
N00039168::Schneiderman, Loren Marc
N00029273::Schock, Aaron
N00030071::Schrader, Kurt
N00028236::Schrader, Tommy
N00039677::Schrey, Elizabeth
N00039487::Schrode, Erin
N00035367::Schroeder, Daniel Michael
N00037183::Schroeder, Will
N00026106::Schultz, Debbie Wasserman
N00001093::Schumer, Charles E
N00039498::Schwartz, Gail
N00006460::Schweikert, David
N00032457::Scott, Austin
N00002147::Scott, Bobby
N00039089::Scott, Bobby
N00024871::Scott, David
N00037195::Scott, Elizabeth
N00031782::Scott, Tim
N00039259::Scupin, Michael
N00037586::Seay, Bob
N00039229::Seda, Anthony
N00004291::Sensenbrenner, F James Jr
N00037583::Seretskiy, Yuriy
N00039313::Serota, Dan
N00001813::Serrano, Jose E
N00005681::Sessions, Pete
N00028049::Sestak, Joe
N00030622::Sewell, Terri A
N00036318::Shambaugh, Andy
N00038608::Shammas, Joe
N00038443::Shaver, Rob
N00028681::Shawver, Richard
N00028091::Shea-Porter, Carol
N00038712::Sheets, Lajena
N00039584::Shekari, Melody
N00009920::Shelby, Richard C
N00035839::Sheldon, Steve
N00035041::Shell, Mark
N00038249::Shepherd, Doug
N00039133::Shepherd, Rick
N00035390::Sheridan, Tim
N00006897::Sherman, Brad
N00038666::Sherman, Rob
N00038638::Sherzan, Mike
N00004961::Shimkus, John M
N00039232::Shlikas, Edward
N00039549::Shoaf, Farren Kent
N00038251::Short, Bryon Hall
N00039055::Short, Grant
N00038581::Showen, Paul
N00038264::Shudofsky, Aryeh
N00013770::Shuster, Bill
N00038679::Sidle, Calvin
N00039536::Simmons, Doanita
N00036396::Simonsen, Collin
N00039182::Simpson, Cory
N00006263::Simpson, Mike
N00038281::Sims, Brian
N00038455::Sims, Kaleb
N00033983::Sinema, Kyrsten
N00038735::Singer, Alex
N00027523::Sires, Albio
N00036923::Sittenfeld, P G
N00039599::Skold, Alida
N00010719::Skolnick, Shelly
N00039602::Slattery, William
N00001311::Slaughter, Louise M
N00039058::Slaughter, Stephen
N00037056::Slavens, John
N00037423::Smigiel, Mike
N00007833::Smith, Adam
N00027623::Smith, Adrian
N00038693::Smith, Ande
N00012760::Smith, Charles
N00009816::Smith, Chris
N00039331::Smith, Darin
N00039157::Smith, Darrel Jr
N00038204::Smith, Dennis
N00039534::Smith, Douglas
N00039583::Smith, Geoffery Suhmer
N00035396::Smith, Glo
N00035282::Smith, Jason
N00039100::Smith, Jeff
N00039590::Smith, Jeremy M.
N00036212::Smith, Jesse T
N00008327::Smith, Joe
N00001811::Smith, Lamar
N00038768::Smith, Michael
N00039708::Smith, Rodney
N00029635::Smith, William
N00038781::Smucker, Lloyd
N00039668::Snow, Misty K
N00025139::Snyder, Jim
N00035034::Soffen, Scott
N00037188::Sol-Gutierrez, Ana
N00038859::Solen, Ryan
N00039703::Solorio, Jose
N00038826::Somerville,Robert Eric
N00039409::Sonnek-Schmelz, Brent J
N00037422::Soto, Darren
N00039132::Soules, Merrie Lee Ms.
N00036530::Spain, Paul
N00037410::Spalding, Carla
N00038442::Spampinato, Frank
N00037046::Sparks, Daniel
N00031803::Sparks, David
N00039509::Specht, Steven
N00029649::Speier, Jackie
N00003818::Spelbring, Ralph
N00039483::Spencer, Lyndle
N00039315::Spotorno, Frank
N00037403::Spotorno, Frank
N00038755::Spurlino, Jim
N00038199::Staley, Violet
N00038662::Standard, Sean
N00039173::Stanley, Roy Carl
N00039674::Stapley, Don
N00034305::Stapley, Don
N00038573::Starr, Michael Bob
N00037055::Starrett, Grant
N00037256::Steele, Victoria
N00039328::Steenson, David
N00035523::Stefanik, Elise
N00039406::Stein, Jeffrey Lynn
N00033776::Stein, Jill
N00037593::Stella, Dominick
N00036804::Stephens, Barry
N00039424::Sterling, Laura
N00035961::Stern, Everett
N00038740::Stern, Steve
N00039502::Stevens, Bill
N00039649::Stevens, Cean
N00033932::Stewart, Chris
N00039069::Stewart, Faye
N00038711::Stewart, Nathan
N00038856::Stilwell, Jeff
N00038200::Stine, Kevin
N00029574::Stivers, Steve
N00039370::Stock, Margaret
N00039653::Stokes, Steve
N00037585::Stokham, Casper
N00034175::Stone, Damian
N00038612::Stone, Jeff
N00039517::Stooksbury, Rodney
N00035673::Stovall, Dwayne
N00001728::Stracuzzi, Natale
N00037279::Strait, Terence
N00038246::Strauss, Ray
N00033103::Straw, Andrew
N00003730::Strickland, Ted
N00036760::Strzala, Melissa
N00039172::Stuard, Gary
N00038867::Stubson, Tim
N00039661::Sturgill, Jerry
N00030891::Stutzman, Marlin
N00039423::Subick, Julian
N00039510::Sukhia, Ken
N00039686::Summerell, J.J.
N00038196::Sundheim, Duf
N00034752::Sunthonchart, Paiboon Jr
N00038742::Suozzi, Tom
N00036916::Swaim, Jason
N00033508::Swalwell, Eric
N00037041::Swartz, Donnie
N00038837::Sweeney, Mike
N00038814::Sweeten, Randy
N00008079::Swing, Gary
N00037553::Swinton, Jonathan
N00038564::Szeliga, Kathy
N00033798::Tacherra, Johnny
N00029848::Taddeo, Annette
N00036927::Tagert, Mike
N00035535::Takai, Mark
N00006701::Takano, Mark
N00039376::Tamayo, Amy America
N00037276::Tams, Michael
N00039725::Tarbell, Bill
N00031176::Tarkanian, Danny
N00039036::Tate, Jason
N00036909::Taub, Russ
N00001982::Taylor, Blaine
N00038416::Taylor, Dwayne L
N00038771::Taylor, James
N00039710::Taylor, Jordan
N00035957::Taylor, Kerith Strano
N00037024::Taylor, Priscilla
N00039136::Teachout, Zephyr
N00036334::Teijeiro, Annette
N00038463::Teng, Chia-Chi
N00039114::Therrien, David
N00038620::Thies, Charles
N00038778::Thomas, Brian
N00038574::Thomas, Kathleen
N00037437::Thomas, Mary
N00039391::Thomas, Rod
N00036075::Thomas, William Joseph
N00039529::Thompson, Andrew
N00003288::Thompson, Bennie G
N00039696::Thompson, David W
N00038399::Thompson, Geraldine
N00029736::Thompson, Glenn
N00036931::Thompson, Kirk
N00007419::Thompson, Mike
N00006052::Thornberry, Mac
N00038431::Thornton, Alvin
N00037191::Throne-Holst, Anna
N00004572::Thune, John
N00038794::Thurgood, Keith
N00009699::Tiberi, Patrick J
N00039169::Tidwell, Edward
N00039161::Tijerina, Vanessa S
N00038641::Tillman, Jimmy Lee II
N00034194::Tinus, Ed
N00027509::Tipton, Scott
N00030191::Titus, Dina
N00038462::Tokar, Jeff
N00038271::Tolerton, Nicholas
N00038698::Tollefson, Jon
N00037595::Tom, Kip
N00038639::Tomkins, Anthony
N00039159::Tomlinson, Rusty
N00030196::Tonko, Paul
N00038706::Toole, Cathy
N00001489::Toomey, Pat
N00036107::Torres, Norma
N00038801::Toth, Steve
N00038252::Townsend, Bryan
N00039672::Tran, Minh
N00039576::Travison, Albert
N00038688::Tribandis, Tommy
N00039425::Tribble, Clint
N00039174::Trimble, Scott
N00039122::Trone, David
N00035607::Trott, Dave
N00038741::Trotta, Rob
N00023864::Trump, Donald
N00038570::Tsimerman, Alex
N00029026::Tsongas, Niki
N00037518::Tuck, Mickey
N00039310::Tucker, Pam
N00039076::Turner, Danny
N00037035::Turner, Ingrid
N00025175::Turner, Michael R
N00037606::Tuttle, Bailey
N00038866::Tyrrel, Charlie
N00039655::Underwood, Erik
N00012601::Unz, Ron
N00004133::Upton, Fred
N00026720::Vaden, William Ross
N00038822::Vakil, Tejas
N00033367::Valadao, David
N00039482::Valdes, Alina
N00037603::Valle, John Paul
N00037284::Van Blarcom, Cory Scott
N00013820::Van Hollen, Chris
N00030108::Van Raam, Douglas S
N00033703::Van Steenwyk, Clair
N00038835::Vance, Brandon
N00038242::Vance, Chris
N00038650::Vandersand, Ethan
N00039389::Vann, Diane
N00031891::Vann, Diane
N00039499::Vargas, Calandra
N00007021::Vargas, Juan
N00038459::Vargas, Phillip
N00012669::Vaughn, Corrogan R
N00035969::Veasaw, James B
N00033839::Veasey, Marc
N00037023::Vega, Angel L
N00034349::Vela, Filemon
N00001102::Velazquez, Nydia M
N00037021::Veltmeyer, James
N00035410::Vernon, Monica
N00039726::Villa, Gerald
N00038592::Villarreal, James
N00037417::Villarreal, Ruben
N00037175::Vince, Lou
N00039468::Vineberg, Scott
N00003813::Visclosky, Pete
N00039413::Vitollo, Joe
N00036779::Vivoni, Miguel Hernandez
N00007470::Vlakancic, Connor
N00026762::Vodvarka, Joseph John
N00037599::Vogt, Dave
N00034515::Vohra, Arvin
N00038774::Volpe, Frank
N00037277::Vowell, Edward
N00038848::Wade, Mike
N00035207::Wager, Michael
N00033106::Wagner, Ann L
N00039706::Waite, Neil M
N00038289::Wakely, Tom
N00037301::Walbeck, Matthew
N00026368::Walberg, Tim
N00007690::Walden, Greg
N00036861::Walker, David
